city,country,2017,2018,2019,2020,2021,2022,2023
Albury,Australia,7.3,7.3,11.0,17.3,11.3,6.9,6.9
Bathurst,Australia,6.1,7.0,13.1,8.7,10.3,4.6,4.6
Beresfield,Australia,7.6,8.7,13.6,10.6,10.2,5.4,5.4
Boat Creek,Australia,5.1,5.5,7.8,5.8,5.0,5.1,5.1
Bream Creak,Australia,2.5,4.4,4.3,4.0,3.0,3.3,3.3
Brisbane,Australia,6.4,7.2,8.1,6.7,5.5,3.5,3.5
Campbell Town,Australia,6.2,6.1,5.9,5.7,4.1,3.8,3.8
Cannon Hill,Australia,8.1,7.9,9.0,6.6,6.1,6.2,6.2
Churchill,Australia,7.0,6.4,9.5,11.4,7.0,4.5,4.5
Clinton,Australia,4.0,8.8,8.8,5.9,5.2,5.2,5.2
Cygnet,Australia,3.7,3.9,7.9,3.3,3.0,2.9,2.9
Deloraine,Australia,7.8,7.7,6.4,5.3,5.2,5.0,4.7
Devonport,Australia,5.4,5.3,5.5,5.8,4.3,4.2,4.1
Emu River,Australia,2.3,2.6,2.5,2.6,2.1,1.7,1.7
Exeter,Australia,3.0,3.2,3.6,3.7,2.7,2.7,2.6
Fingal,Australia,3.1,3.1,3.0,3.1,3.6,2.8,2.7
Geelong,Australia,7.0,6.8,6.9,6.9,5.9,4.4,4.4
Geeveston,Australia,8.3,7.9,11.8,7.7,6.4,6.9,6.7
George Town,Australia,4.1,4.4,4.1,4.3,3.3,2.4,2.3
Gladstone,Australia,7.2,5.9,7.0,6.2,5.0,3.2,3.2
Glenorchy,Australia,4.7,4.4,4.8,4.8,3.6,3.8,3.7
Gretna,Australia,3.1,3.1,4.7,3.1,2.6,2.8,2.7
Hadspen,Australia,9.8,10.2,9.3,8.7,6.5,6.0,5.8
Hobart,Australia,3.7,4.0,4.4,3.7,3.0,3.2,3.1
Huonville,Australia,5.9,6.1,7.5,6.1,4.6,4.8,4.7
Judbury,Australia,1.9,2.2,5.7,2.4,2.0,2.0,2.0
Kembla Grange,Australia,6.9,7.0,9.9,9.3,13.4,4.8,4.8
Launceston,Australia,7.0,5.3,5.2,6.7,4.6,5.3,5.1
Lilydale,Australia,5.0,4.8,4.8,5.2,4.2,3.8,3.7
Longford,Australia,10.7,11.6,9.5,9.7,6.8,7.8,7.4
Melbourne,Australia,5.4,5.8,6.5,8.3,5.6,4.8,4.8
Melton,Australia,3.5,4.7,6.4,9.5,6.0,5.8,5.8
Moe,Australia,6.5,6.4,8.6,9.6,7.1,4.7,4.6
Mornington,Australia,3.9,3.0,3.8,3.2,2.4,2.7,2.7
Morwell,Australia,6.7,6.5,7.6,9.3,6.3,4.3,4.3
Muswellbrook,Australia,9.4,9.5,13.5,10.1,13.4,6.6,6.7
New Norfolk,Australia,11.2,9.3,8.5,8.3,6.7,8.0,7.7
Newcastle,Australia,7.4,7.9,12.5,7.9,6.2,3.8,3.8
Oatlands,Australia,5.7,6.8,5.9,5.5,3.9,4.1,3.9
Perth,Australia,9.7,9.3,6.4,8.4,6.8,6.25,6.0
Rocklea,Australia,7.2,6.8,9.0,6.5,5.4,7.6,7.3
Scottsdale,Australia,8.1,7.1,6.4,7.3,4.6,4.2,4.1
Sheffield,Australia,3.6,4.7,5.1,5.5,3.8,3.8,3.7
Shellharbour,Australia,6.6,6.8,9.6,8.0,11.6,4.2,4.2
Singleton,Australia,8.1,8.1,12.5,9.2,12.6,6.0,6.0
Smithton,Australia,4.9,4.9,4.3,3.9,3.0,2.6,2.6
South Launceston,Australia,6.6,6.2,5.6,5.8,4.4,4.5,4.2
Springwood,Australia,5.5,6.3,6.9,5.9,5.4,5.8,5.8
St Helens,Australia,3.3,2.9,2.4,2.4,1.9,1.8,1.8
Sydney,Australia,7.1,7.6,10.1,7.2,5.3,3.1,3.1
Tamworth,Australia,7.8,8.5,15.2,9.1,12.7,5.4,5.4
Traralgon,Australia,8.5,8.0,9.2,8.5,7.4,6.7,6.6
Triabunna,Australia,8.2,8.4,4.8,4.8,4.0,4.5,4.5
Wagga Wagga,Australia,8.0,8.4,12.4,12.4,8.0,5.1,5.0
Wallsend,Australia,7.3,7.5,11.7,8.3,11.7,5.7,5.7
Wangaratta,Australia,9.5,7.3,7.9,13.0,5.3,4.8,4.8
West Ulverstone,Australia,3.7,4.0,3.7,3.8,2.9,2.6,2.6
Westbury,Australia,8.1,8.7,8.2,7.9,5.9,5.5,5.4
Wollongong,Australia,7.0,7.3,10.6,8.0,6.3,3.0,3.0
Wynnum,Australia,4.0,4.7,7.6,5.9,4.3,3.2,3.2
Wynyard,Australia,6.6,5.5,5.3,5.2,4.0,3.9,3.8
Wyong,Australia,5.8,6.7,12.1,7.8,11.6,4.9,5.0
Bad Ischl,Austria,8.7,10.4,8.5,7.8,7.8,7.4,7.3
Durnrohr,Austria,11.5,11.5,10.5,9.6,10.5,10.8,10.7
Ebensee,Austria,4.3,6.2,7.4,5.4,4.9,5.1,4.8
Eisenstadt,Austria,12.8,14.0,11.3,10.1,10.4,11.0,10.9
Enns,Austria,13.8,16.8,11.6,8.9,10.2,11.9,11.9
Glinzendorf,Austria,13.8,14.3,11.2,10.6,10.9,9.3,9.3
Haselbach,Austria,13.1,13.2,12.3,10.7,11.1,10.8,10.8
Illmitz,Austria,12.5,13.9,11.1,10.2,10.2,9.6,9.6
Linz,Austria,13.4,15.4,13.3,11.3,12.1,11.8,11.8
Reichraming,Austria,4.7,5.9,6.2,4.9,5.3,4.3,4.2
Schondorf,Austria,12.2,13.3,11.3,9.9,10.8,10.8,10.9
Schwechat,Austria,13.4,15.2,11.6,10.9,11.0,10.5,10.4
St. Polten,Austria,12.9,14.3,11.0,12.1,11.8,11.5,11.2
Steyr,Austria,12.3,13.3,11.0,9.4,10.0,9.9,9.8
Steyregg,Austria,14.6,13.7,12.3,11.3,11.7,11.4,11.3
Traun,Austria,14.6,14.9,12.9,11.9,12.0,12.0,12.0
Vienna,Austria,13.0,15.2,12.3,11.0,11.8,10.5,10.5
Voitsberg,Austria,12.6,14.7,10.6,11.2,11.6,11.2,11.0
Wels,Austria,13.5,15.3,12.2,11.1,10.9,10.5,10.5
Wiener Neudorf,Austria,12.4,14.0,11.5,11.0,11.6,10.1,10.0
Manama,Bahrain,62.5,59.8,46.8,39.7,49.8,66.6,67.1
Dhaka,Bangladesh,79.7,97.1,83.3,77.1,78.1,65.8,65.9
Aarschot,Belgium,12.7,13.7,11.6,10.1,12.1,10.5,10.5
Andenne,Belgium,9.7,11.7,10.3,6.2,8.7,7.5,7.5
Antwerpen,Belgium,14.0,14.4,12.9,10.7,12.7,11.4,11.3
Baelen,Belgium,8.4,8.6,8.9,5.3,7.6,5.5,5.7
Bertrix,Belgium,8.0,9.1,7.9,6.6,6.1,5.6,5.6
Beveren,Belgium,14.4,14.9,13.3,11.6,13.0,11.4,11.4
Boom,Belgium,12.6,13.2,11.5,10.5,11.9,11.2,11.0
Brussels,Belgium,14.9,14.1,14.1,9.3,11.0,10.6,10.5
Charleroi,Belgium,11.4,12.0,10.6,7.9,9.5,8.4,8.4
Chatelet,Belgium,10.6,11.7,11.2,7.3,9.8,8.4,8.4
Damme,Belgium,12.8,13.1,12.2,10.5,11.9,11.2,11.2
Dessel,Belgium,13.8,13.2,12.3,10.7,11.9,11.0,11.0
Destelbergen,Belgium,13.6,14.2,12.5,10.9,12.3,11.9,11.9
Engis,Belgium,12.7,11.9,12.2,7.4,9.4,7.8,7.7
Evergem,Belgium,14.2,15.3,14.2,13.0,14.4,13.9,13.8
Gent,Belgium,14.0,14.9,13.0,10.8,12.7,11.6,11.6
Habay,Belgium,7.8,8.4,8.2,5.2,5.0,5.5,5.4
Herstal,Belgium,10.1,11.0,10.4,7.1,8.8,8.0,8.0
Landen,Belgium,12.5,12.8,10.9,9.1,11.3,9.6,9.4
Liège,Belgium,10.0,10.8,9.2,6.5,8.7,7.7,7.7
Mons,Belgium,11.4,11.3,12.1,7.9,10.6,9.3,9.2
Oostrozebeke,Belgium,17.3,17.2,15.1,13.9,15.2,14.1,14.1
Roeselare,Belgium,14.1,15.3,13.3,12.1,13.3,14.0,13.9
Saint-Nicolas,Belgium,9.4,10.8,10.1,7.2,8.6,7.8,7.8
Sainte-Ode,Belgium,7.0,8.7,7.5,5.6,5.4,4.8,4.6
Schoten,Belgium,14.3,14.5,12.8,11.4,12.7,11.4,11.3
Seraing,Belgium,11.4,12.5,10.5,10.9,12.7,11.6,11.5
Somme-Leuze,Belgium,8.0,9.1,8.4,5.5,6.7,6.1,6.0
Stabroek,Belgium,13.6,13.6,11.7,11.9,12.9,11.8,11.8
Tournai,Belgium,10.9,11.1,11.0,7.2,8.9,8.8,8.6
Veurne,Belgium,11.7,12.8,11.3,9.8,10.8,10.5,10.5
Vielsalm,Belgium,5.6,7.3,6.4,4.2,5.0,4.8,4.6
Vilvoorde,Belgium,14.2,14.9,12.6,10.6,12.0,10.7,10.6
Viroinval,Belgium,7.6,8.9,8.5,4.8,6.7,5.2,5.2
Wielsbeke,Belgium,14.9,16.5,14.8,13.9,15.0,13.8,13.7
Zelzate,Belgium,15.0,15.6,14.7,11.9,12.8,11.9,12.2
Zwevegem,Belgium,13.9,15.4,13.3,11.7,14.0,12.2,12.1
Guarulhos,Brazil,17.3,21.6,18.7,16.4,16.1,15.0,15.0
Piracicaba,Brazil,12.5,13.6,13.4,13.7,13.3,11.6,11.3
Ribeirao Preto,Brazil,5.9,11.3,8.2,7.2,11.8,13.0,13.1
Santos,Brazil,15.9,14.8,15.4,13.7,12.0,12.1,12.1
Sao Paulo,Brazil,16.0,16.2,15.3,14.2,14.8,13.5,13.5
Ruse,Bulgaria,25.4,24.8,22.0,19.4,16.3,15.7,15.7
Sofia,Bulgaria,20.8,28.2,26.8,27.5,17.6,19.1,19.1
Phnom Penh,Cambodia,20.8,20.1,21.1,21.1,19.8,8.3,8.2
Abbotsford,Canada,6.1,7.2,7.5,7.8,6.6,7.1,7.0
Barrie,Canada,7.4,7.9,7.5,7.3,7.2,6.9,6.9
Bathurst,Canada,6.0,5.7,5.2,5.1,5.5,5.1,5.1
Beaverlodge,Canada,5.6,8.1,6.8,4.7,5.1,4.9,4.8
Belleville,Canada,6.1,6.4,6.3,6.5,6.1,5.6,5.6
Brampton,Canada,7.6,7.5,6.7,6.8,7.4,7.4,7.4
Brantford,Canada,7.4,7.8,7.1,7.1,8.0,7.4,7.4
Bruderheim,Canada,7.0,10.7,7.7,6.1,8.4,7.4,7.4
Burlington,Canada,7.4,7.5,6.8,7.4,9.6,8.4,8.4
Calgary,Canada,7.5,10.9,6.9,5.9,8.4,6.3,6.3
Charlottetown,Canada,9.9,9.7,8.1,6.4,4.7,4.3,4.2
Cornwall,Canada,6.2,6.4,5.8,6.2,6.9,6.7,6.6
Edmonton,Canada,8.2,10.5,7.4,6.5,9.5,8.7,8.6
Fort Chipewyan,Canada,3.6,4.9,5.6,3.8,4.4,4.9,4.9
Fort Saskatchewan,Canada,7.9,11.6,7.5,5.8,8.2,7.4,7.4
Gibsons,Canada,9.6,9.5,6.2,7.0,5.3,6.4,6.4
Guelph,Canada,7.3,8.1,7.1,7.3,8.0,7.3,7.3
Hamilton,Canada,8.3,8.9,10.1,9.4,11.0,8.3,8.3
Kingston,Canada,5.6,5.7,5.55,4.9,6.0,5.25,5.25
Kitchener,Canada,7.3,7.5,6.8,6.9,8.4,8.1,8.1
Kitimat,Canada,4.6,5.4,5.2,4.6,3.9,4.0,4.0
Lethbridge,Canada,7.7,9.9,6.5,6.8,7.6,7.3,7.2
London,Canada,7.1,7.3,6.4,6.7,10.3,8.2,8.2
Medicine Hat,Canada,5.9,7.1,5.0,5.2,6.6,5.1,5.1
Mississauga,Canada,7.2,7.4,6.9,6.9,9.7,8.3,8.3
Moncton,Canada,4.2,3.8,4.7,5.6,5.7,5.9,5.9
Montreal,Canada,6.8,7.0,10.0,9.5,10.4,7.9,7.9
Mount Pearl,Canada,5.0,5.4,4.5,5.2,4.9,4.6,4.6
Newmarket,Canada,6.4,6.4,6.3,6.2,6.6,6.4,6.4
North Bay,Canada,4.7,5.6,4.6,4.7,5.7,5.2,5.2
Oakville,Canada,7.3,7.5,6.9,6.3,7.2,6.8,6.8
Oshawa,Canada,6.6,6.6,6.2,6.5,6.5,6.0,6.0
Ottawa,Canada,6.0,6.0,7.3,7.3,8.2,6.8,6.8
Parry Sound,Canada,4.8,5.2,4.4,4.9,5.4,4.9,4.9
Peterborough,Canada,6.0,6.4,6.1,6.3,7.7,7.0,7.0
Port Hawkesbury,Canada,5.7,5.5,5.3,5.0,5.4,5.2,5.2
Powell River,Canada,3.6,4.6,4.9,4.9,4.2,4.0,4.0
Prince George,Canada,9.1,15.4,9.0,5.8,7.4,6.7,6.7
Quebec,Canada,9.0,8.9,8.3,9.9,8.5,6.2,6.2
Red Deer,Canada,7.0,9.7,6.3,4.8,6.1,5.9,5.7
Saint John,Canada,6.4,5.5,5.1,5.2,5.3,5.2,5.2
Sainte-Anne-de-Bellevue,Canada,6.3,6.3,8.2,8.5,9.2,7.1,7.2
Sarnia,Canada,7.2,7.5,7.2,7.2,7.9,7.4,7.4
Sault Ste. Marie,Canada,5.1,5.6,4.8,4.6,9.3,7.0,7.1
St. Catharines,Canada,7.3,7.1,6.9,6.6,7.0,5.8,5.8
Sydney,Canada,6.5,4.6,4.9,4.8,4.8,4.3,4.3
Thunder Bay,Canada,5.7,6.1,5.1,5.8,6.6,5.1,5.1
Tiverton,Canada,5.4,5.8,5.4,5.2,5.9,5.1,5.2
Tomahawk,Canada,5.8,8.8,5.8,4.7,6.5,6.3,6.3
Toronto,Canada,7.5,7.8,7.4,7.0,9.3,8.5,8.5
